,batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size.1,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
0,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=00-v1.ckpt,0,0.6827906976744186,23,64,22.4415,2.6071,0.0029,4.3584,1.4178,3.6495,0.5135,-147.5925,0.0001,0.0001,0.0,0.0002,0.0,0.0004,0.0001,0.089
1,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=00-v2.ckpt,1,0.6818604651162791,23,64,21.2923,2.6217,0.0026,4.4498,1.3649,3.3958,0.5568,-129.9382,0.0001,0.0001,0.0,0.0001,0.0,0.0004,0.0001,0.0878
2,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=00.ckpt,2,0.6744186046511628,23,64,21.783,2.6047,0.0025,4.5008,1.3443,4.2683,0.5691,-134.7509,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0886
3,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=01-v1.ckpt,3,0.6920930232558139,23,64,24.4334,2.5295,0.0032,4.2395,1.3606,5.6294,0.5448,-180.5711,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0918
4,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=01-v2.ckpt,4,0.6697674418604651,23,64,23.1173,2.5571,0.0033,4.295,1.4143,4.7008,0.5145,-166.2848,0.0001,0.0,0.0,0.0001,0.0,0.0003,0.0001,0.0675
5,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=01.ckpt,5,0.6753488372093023,23,64,22.9237,2.5396,0.0028,4.4461,1.3381,5.7075,0.5669,-161.5188,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0626
6,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=02-v1.ckpt,6,0.6995348837209302,23,64,25.2791,2.4927,0.0034,4.177,1.36,5.9152,0.5463,-192.8636,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0673
7,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=02-v2.ckpt,7,0.6948837209302325,23,64,24.2227,2.5266,0.0035,4.2599,1.4072,5.2643,0.5165,-178.5288,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0712
8,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=02.ckpt,8,0.6744186046511628,23,64,22.7121,2.5621,0.0027,4.379,1.3052,5.51,0.5886,-171.487,0.0001,0.0,0.0,0.0001,0.0,0.0003,0.0001,0.0815
9,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=03-v1.ckpt,9,0.6846511627906977,23,64,25.8211,2.451,0.0034,4.1182,1.364,5.6637,0.5403,-203.5,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0768
10,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=03-v2.ckpt,10,0.6772093023255814,23,64,24.9312,2.5246,0.0035,4.2145,1.3765,6.2282,0.5348,-188.7799,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0754
11,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=03.ckpt,11,0.6809302325581396,23,64,24.5938,2.5138,0.0031,4.2707,1.3578,5.0153,0.5469,-189.9242,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0714
12,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=04-v1.ckpt,12,0.7023255813953488,23,64,26.0025,2.4222,0.0033,4.0403,1.3092,6.2099,0.5812,-210.132,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0704
13,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=04-v2.ckpt,13,0.6716279069767442,23,64,25.0457,2.4916,0.0034,4.1495,1.3172,6.6197,0.5782,-193.3753,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0723
14,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=04.ckpt,14,0.695813953488372,23,64,25.4186,2.5309,0.0031,4.2353,1.3584,5.7737,0.546,-204.3947,0.0001,0.0,0.0,0.0001,0.0,0.0003,0.0001,0.0737
15,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=05-v1.ckpt,15,0.7013953488372093,23,64,26.1032,2.4099,0.0033,4.0029,1.2939,6.5417,0.5922,-219.4322,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0748
16,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=05-v2.ckpt,16,0.6967441860465117,23,64,25.2167,2.4677,0.0034,4.0974,1.3037,6.7654,0.5874,-203.1489,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0732
17,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=05.ckpt,17,0.7013953488372093,23,64,25.6098,2.5034,0.0027,4.193,1.3259,6.2464,0.5663,-213.1626,0.0001,0.0,0.0,0.0001,0.0,0.0003,0.0001,0.0686
18,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=06-v1.ckpt,18,0.7013953488372093,23,64,26.5255,2.4259,0.0029,3.9916,1.2985,6.3864,0.5877,-225.4185,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0669
19,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=06-v2.ckpt,19,0.6883720930232559,23,64,27.172,2.4294,0.0041,3.981,1.3427,7.4352,0.554,-217.4936,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0684
20,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=06.ckpt,20,0.706046511627907,23,64,26.1552,2.4792,0.0024,4.1495,1.3099,6.5948,0.5794,-218.9504,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0612
21,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=07-v1.ckpt,21,0.6920930232558139,23,64,27.2791,2.4323,0.003,3.9452,1.3085,7.0593,0.5801,-237.6015,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0623
22,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=07-v2.ckpt,22,0.6846511627906977,23,64,27.4714,2.4405,0.004,3.937,1.3165,7.7062,0.5743,-226.9428,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0594
23,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=07.ckpt,23,0.6930232558139535,23,64,26.7956,2.4378,0.0022,4.0876,1.3068,7.6447,0.5813,-227.1056,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0807
24,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=08-v1.ckpt,24,0.7013953488372093,23,64,27.3808,2.4358,0.0029,3.9303,1.293,7.2472,0.5928,-240.5307,0.0001,0.0001,0.0,0.0001,0.0,0.0004,0.0001,0.069
25,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=08-v2.ckpt,25,0.68,23,64,27.4672,2.4244,0.0039,3.9219,1.303,7.629,0.5844,-233.85,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.074
26,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=08.ckpt,26,0.695813953488372,23,64,26.5452,2.4395,0.0017,4.0653,1.2706,7.2264,0.6109,-233.1998,0.0001,0.0,0.0,0.0001,0.0,0.0003,0.0001,0.0905
27,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=09-v1.ckpt,27,0.6874418604651162,23,64,28.2589,2.4322,0.0029,3.8913,1.3082,8.0058,0.5792,-254.0126,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0843
28,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=09-v2.ckpt,28,0.693953488372093,23,64,27.7291,2.4287,0.0039,3.9018,1.3049,7.4209,0.5819,-241.3208,0.0001,0.0,0.0,0.0001,0.0,0.0003,0.0001,0.0667
29,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=09.ckpt,29,0.695813953488372,23,64,27.25,2.4135,0.0016,4.002,1.279,7.6004,0.6045,-239.2067,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0723
30,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=10-v1.ckpt,30,0.7004651162790698,23,64,29.0051,2.4196,0.0032,3.8532,1.3367,7.2378,0.555,-262.3445,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0738
31,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=10-v2.ckpt,31,0.7041860465116279,23,64,28.4375,2.412,0.0042,3.8531,1.3163,7.7424,0.572,-246.5173,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0654
32,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=10.ckpt,32,0.6865116279069767,23,64,28.2025,2.3679,0.0017,3.9778,1.3065,7.2686,0.5808,-246.9693,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0773
33,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=11-v1.ckpt,33,0.6818604651162791,23,64,28.8999,2.4369,0.003,3.8785,1.3197,7.9306,0.5693,-258.487,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0694
34,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=11-v2.ckpt,34,0.6920930232558139,23,64,28.8199,2.4067,0.0042,3.8403,1.3191,8.0148,0.5691,-251.6871,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0655
35,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=11.ckpt,35,0.6883720930232559,23,64,28.2254,2.3657,0.0016,3.9657,1.3073,7.51,0.5795,-249.145,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0628
36,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=12-v1.ckpt,36,0.7032558139534884,23,64,28.6488,2.438,0.003,3.8637,1.3063,8.026,0.5796,-261.7659,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0592
37,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=12-v2.ckpt,37,0.6734883720930233,23,64,28.9341,2.4031,0.0041,3.8286,1.3187,7.7988,0.5696,-254.6852,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0545
38,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=12.ckpt,38,0.6827906976744186,23,64,28.3283,2.3681,0.0016,3.9717,1.3015,7.7359,0.5842,-252.4391,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0603
39,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=13-v1.ckpt,39,0.6967441860465117,23,64,28.9196,2.4247,0.0027,3.8703,1.3058,7.9825,0.5803,-264.2193,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0706
40,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=13-v2.ckpt,40,0.6697674418604651,23,64,28.8709,2.4137,0.0041,3.8289,1.3076,7.9315,0.5792,-255.1501,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0716
41,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=13.ckpt,41,0.6865116279069767,23,64,27.9236,2.393,0.0013,4.0063,1.275,8.1365,0.6065,-250.6896,0.0001,0.0,0.0,0.0001,0.0,0.0003,0.0001,0.0635
42,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=14-v1.ckpt,42,0.7162790697674418,23,64,28.4157,2.4519,0.0027,3.9061,1.2884,8.1632,0.595,-262.8004,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.068
43,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=14-v2.ckpt,43,0.6641860465116279,23,64,29.0854,2.4008,0.004,3.805,1.3054,8.1933,0.5813,-257.9386,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0812
44,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=14.ckpt,44,0.6930232558139535,23,64,28.3172,2.3718,0.0013,3.9936,1.283,7.9674,0.5994,-255.1566,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0699
45,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=15-v1.ckpt,45,0.6911627906976744,23,64,29.1759,2.4261,0.0029,3.8514,1.3131,7.6201,0.5737,-268.9496,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0863
46,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=15-v2.ckpt,46,0.6688372093023256,23,64,29.7843,2.3809,0.0042,3.7768,1.3316,7.9346,0.5584,-264.1051,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.085
47,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=15.ckpt,47,0.6920930232558139,23,64,28.9717,2.3613,0.0013,3.9513,1.2967,7.8884,0.5877,-261.0267,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0776
48,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=16-v1.ckpt,48,0.7032558139534884,23,64,29.4185,2.4174,0.0029,3.8377,1.3115,8.4726,0.5743,-273.1179,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0669
49,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=16-v2.ckpt,49,0.6762790697674419,23,64,29.5399,2.3916,0.004,3.7706,1.3082,7.8388,0.5781,-265.0933,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0801
50,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=16.ckpt,50,0.6986046511627907,23,64,28.6784,2.3488,0.0012,3.9923,1.284,8.2639,0.5985,-261.3466,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0969
51,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=17-v1.ckpt,51,0.7013953488372093,23,64,29.4676,2.4278,0.0028,3.8427,1.3148,8.4203,0.5729,-275.5605,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0703
52,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=17-v2.ckpt,52,0.6688372093023256,23,64,29.5588,2.3902,0.0039,3.7701,1.3038,8.0344,0.5814,-266.2129,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0716
53,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=17.ckpt,53,0.6986046511627907,23,64,29.005,2.3357,0.0012,3.9818,1.2912,8.6897,0.5921,-265.1145,0.0001,0.0,0.0,0.0001,0.0,0.0003,0.0001,0.0709
54,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=18-v1.ckpt,54,0.6790697674418604,23,64,29.2717,2.3886,0.0039,3.7774,1.2875,8.2728,0.5961,-264.827,0.0001,0.0,0.0,0.0001,0.0,0.0003,0.0001,0.0757
55,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=18.ckpt,55,0.6902325581395349,23,64,29.189,2.3364,0.0013,3.935,1.2878,8.2631,0.5955,-266.9992,0.0001,0.0,0.0,0.0001,0.0,0.0003,0.0001,0.0767
56,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=00.ckpt,0,0.6818604651162791,18,64,22.8469,2.6878,0.0028,4.5583,1.481,3.9826,0.4776,-127.3843,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0518
57,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=01.ckpt,1,0.6855813953488372,18,64,23.9575,2.5929,0.0033,4.3978,1.504,3.8581,0.4615,-154.5322,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0532
58,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=02.ckpt,2,0.6781395348837209,18,64,24.9988,2.5614,0.0035,4.28,1.4524,4.5382,0.4809,-175.6421,0.0001,0.0,0.0,0.0001,0.0,0.0003,0.0001,0.0594
59,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=03.ckpt,3,0.6697674418604651,18,64,25.6641,2.5388,0.0036,4.2,1.4027,5.6118,0.514,-184.8224,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0664
60,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=04.ckpt,4,0.6855813953488372,18,64,26.3094,2.4975,0.0037,4.1233,1.3937,6.1793,0.5173,-196.1074,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0691
61,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=05.ckpt,5,0.6902325581395349,18,64,26.9069,2.4547,0.0038,4.0694,1.3856,6.3526,0.5227,-204.9126,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0733
62,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=06.ckpt,6,0.6920930232558139,18,64,27.1288,2.4262,0.0038,4.011,1.3575,6.5815,0.541,-212.1869,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0766
63,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=07.ckpt,7,0.7032558139534884,18,64,27.3013,2.4207,0.0036,3.9644,1.3249,6.683,0.5638,-216.8832,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0692
64,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=08.ckpt,8,0.7004651162790698,18,64,27.9682,2.4039,0.0037,3.9263,1.3369,6.9829,0.5545,-228.7535,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0764
